condition_id,chain_id,individual_id,tail_presence,prior_knowledge_about_tail,sex,age_group,tail_description,other_attributes,picture_name
1,1,1,1,Y,M,Old,little elongated cloud,interesting beak,Sheep_111
1,1,2,1,Y,M,Young,small fluff,large ears,Sheep_112
1,1,3,1,Y,F,Young,small fluff,large ears,Sheep_113
1,1,4,1,Y,F,Young,small fluff,large ears,Sheep_114
1,1,5,1,Y,F,Young,small fluff,large ears,Sheep_115
1,2,1,0,N,F,Young,absent,music note legs,Sheep_121
1,2,2,0,Y,F,Young,absent,music note legs / smile,Sheep_122
1,2,3,1,Y,F,Young,curly tail (pig-like),smile / hooves on large legs,Sheep_123
1,2,4,1,Y,M,Young,curly tail (pig-like),large legs / smile,Sheep_124
1,2,5,1,Y,F,Young,curly tail (pig-like),large legs / mouth,Sheep_125
1,3,1,0,Y,F,Young,absent,big cloud body / smiley face / only two legs,Sheep_131
1,3,2,0,Y,F,Young,absent,big cloud body / smiley face / only two legs,Sheep_132
1,3,3,0,Y,F,Young,absent,big cloud body / only two legs,Sheep_133
1,3,4,0,Y,F,Young,absent,big cloud body / smiley face / only two legs,Sheep_134
1,3,5,1,Y,F,Young,small fluff,four legs / muzzle (not a mouth),Sheep_135
1,4,1,1,Y,F,Young,inverted 3,four legs / grass in the mouth / fluff on the head,Sheep_141
1,4,2,1,Y,F,Young,small circle,two legs / flower in mouth / circle on head / unfinished body,Sheep_142
1,4,3,1,Y,F,Young,small circle,four legs / unfinished body / small circle next to the head ,Sheep_143
1,4,4,0,Y,F,Young,absent,abstract rendition / people did not recognise that previous drawing was a sheep,Sheep_144
1,4,5,0,N,F,Young,absent,abstract rendition / people did not recognise that previous drawing was a sheep,Sheep_145
1,5,1,1,Y,F,Young,small circle,participant added the tail last,Sheep_151
1,5,2,1,Y,F,Young,rat's tail,,Sheep_152
1,5,3,1,Y,F,Young,rat's tail,participant did not recognize the previous drawing was a sheep,Sheep_153
1,5,4,1,N,F,Young,rat's tail,participant did not recognize the previous drawing was a sheep,Sheep_154
1,5,5,1,Y,M,Young,cat's tail,,Sheep_155
2,1,1,0,NA,F,Young,absent,facing right / grass around / four legs / an eye,Sheep_211
2,1,2,0,NA,M,Young,absent,probably facing left / four legs,Sheep_212
2,1,3,0,NA,M,Young,absent,facing left / four legs,Sheep_213
2,1,4,1,NA,M,Old,long and straight,COW,Sheep_214
2,1,5,1,NA,F,Young,trident shaped,COW,Sheep_215
2,2,1,1,NA,F,Young,v shaped,four legs / large muzzle,Sheep_221
2,2,2,0,NA,M,Young,absent,four legs / large muzzle,Sheep_222
2,2,3,0,NA,F,Young,absent,two legs / large muzzle,Sheep_223
2,2,4,0,NA,F,Young,absent,two legs / double muzzle,Sheep_224
2,2,5,0,NA,F,Young,absent,two legs / double muzzle,Sheep_225
2,3,1,1,NA,M,Young,tiny v shaped,four legs / some grass / one ear / snout,Sheep_231
2,3,2,0,NA,F,Young,absent,undetermined amount of legs / one ear / snout / bushes (two zigzag lines),Sheep_232
2,3,3,0,NA,M,Young,absent,four legs / one ear / long snout / one zigzag line,Sheep_233
2,3,4,0,NA,F,Young,absent,four legs / one ear / long snout  ,Sheep_234
2,3,5,0,NA,F,Old,absent,four legs / one ear ,Sheep_235
2,3,6,0,NA,M,Young,absent,four legs ,Sheep_241
2,4,1,0,NA,M,Young,absent,four legs / some grass / a head,Sheep_242
2,4,2,0,NA,M,Young,absent,four legs / a head,Sheep_243
2,4,3,0,NA,F,Young,absent,TREE,Sheep_244
2,4,4,0,NA,F,Young,absent,TREE,Sheep_245
2,5,1,0,NA,M,Young,absent,four legs / decor on the back of the sheep / outline of the picture / some grass,Sheep_251
2,5,2,0,NA,M,Young,absent,four legs / decor on the back of the sheep / outline of the picture ,Sheep_252
2,5,3,0,NA,F,Young,absent,four legs / decor on the back of the sheep / outline of the picture,Sheep_253
2,5,4,0,NA,M,Young,absent,four legs / decor on the back of the sheep / outline of the picture,Sheep_254
2,5,5,0,NA,M,Young,absent,two legs / stripes on the back / no picture outline,Sheep_255
